Código IBGE,Nome do Municipio,uf,maior_media_anual,ano_maior_media,maior_media_semestral,semestre_maior_media,maior_diferenca_entre_meses,ano_maior_diferença_ano,media_pessoas_geral,max_valor,min_valor
290460,BRUMADO,BA,1664.33,2026,1696.17,2025_S2,363,2025,1358.1,1914,1138
350410,ATIBAIA,SP,1662.83,2025,1663.0,2025_S1,180,2024,1432.95,1704,1171
230030,ACOPIARA,CE,1662.58,2025,1677.0,2025_S2,215,2024,1395.88,1687,1188
150442,MARITUBA,PA,1658.58,2025,1673.0,2025_S2,150,2023,1465.2,1687,1217
220830,PIRACURUCA,PI,1657.0,2026,1657.0,2026_S1,167,2024,1318.75,1684,1086
410180,ARAUCÁRIA,PR,1656.67,2025,1657.5,2025_S2,162,2024,1430.62,1746,1217
291120,GANDU,BA,1654.42,2025,1668.33,2025_S2,145,2023,1442.4,1688,1209
210960,ROSÁRIO,MA,1647.25,2025,1655.67,2025_S2,196,2024,1385.88,1673,1119
315250,POUSO ALEGRE,MG,1645.67,2025,1658.17,2025_S2,155,2024,1443.12,1680,1221
110011,JARU,RO,1645.67,2025,1658.83,2025_S2,194,2024,1456.82,1664,1292
171820,PORTO NACIONAL,TO,1645.67,2026,1658.67,2025_S2,171,2024,1386.43,1676,1166
150270,CONCEIÇÃO DO ARAGUAIA,PA,1645.58,2025,1667.67,2025_S2,93,2023,1516.9,1682,1363
220290,CORRENTE,PI,1643.75,2025,1661.67,2025_S2,168,2024,1439.38,1681,1261
150130,BARCARENA,PA,1643.17,2025,1662.17,2025_S2,242,2023,1370.3,1675,1060
290840,CONCEIÇÃO DO COITÉ,BA,1641.67,2026,1660.5,2025_S2,175,2024,1343.73,1665,1105
355540,UBATUBA,SP,1639.67,2026,1669.33,2025_S2,184,2024,1319.87,1677,977
251210,POMBAL,PB,1639.33,2026,1639.67,2025_S2,195,2024,1308.73,1655,1076
316470,SÃO SEBASTIÃO DO PARAÍSO,MG,1637.08,2025,1646.0,2025_S2,161,2023,1437.82,1674,1196
231400,VÁRZEA ALEGRE,CE,1633.33,2026,1633.33,2026_S1,271,2024,1236.47,1647,938
240830,NOVA CRUZ,RN,1631.75,2025,1655.33,2025_S2,106,2023,1461.6,1659,1299
312800,GUANHÃES,MG,1631.67,2025,1677.67,2025_S2,277,2024,1329.02,1761,1096
211400,ZÉ DOCA,MA,1629.67,2026,1629.67,2026_S1,260,2024,1194.23,1668,938
313630,JOÃO PINHEIRO,MG,1624.0,2026,1652.0,2025_S2,141,2025,1411.63,1660,1201
280450,NOSSA SENHORA DA GLÓRIA,SE,1624.0,2026,1629.33,2025_S2,219,2024,1303.83,1637,1039
