"codigo_estado","codigo_municipio","qtd_membros","cadunico","bpc","pbf"
21,2110104,22633,22633,1460,19153
42,4212601,871,871,81,51
17,1701309,4198,4198,385,2329
31,3154903,7385,7385,1089,2760
35,3513108,11427,11427,1346,4711
24,2403400,4546,4546,536,2791
24,2400901,5544,5544,484,3977
29,2909208,12761,12761,854,10591
43,4306007,6071,6071,552,888
21,2102002,25355,25355,1900,19909
31,3164407,2763,2763,306,927
43,4314209,4208,4208,721,2215
52,5200852,2825,2825,444,1297
31,3103603,1576,1576,213,951
25,2511608,6619,6619,491,5178
43,4311502,3205,3205,453,1698
31,3168804,3367,3367,407,1837
21,2106409,14560,14560,1378,12715
35,3512605,2086,2086,428,1000
21,2101970,6407,6407,377,5325
41,4119004,2843,2843,283,778
23,2301703,19191,19191,2254,11759
15,1506500,36807,36807,4785,24122
31,3100500,4952,4952,656,2878
22,2202000,15457,15457,1474,12008
26,2613107,25343,25343,2922,17960
24,2401859,4768,4768,301,3614
43,4319158,3075,3075,387,1834
31,3112505,4706,4706,410,2101
31,3123700,5638,5638,863,2859
31,3114204,5152,5152,930,1899
11,1101468,1870,1870,188,828
25,2506202,2333,2333,156,1580
31,3135605,5325,5325,656,3472
42,4201109,1125,1125,130,478
25,2501500,15316,15316,1324,11327
23,2305704,8917,8917,770,6306
41,4123204,1940,1940,294,647
52,5213756,5807,5807,628,1929
35,3523602,4429,4429,575,2306
31,3152105,22232,22232,3196,8332
35,3530102,7488,7488,1028,2989
25,2505238,5123,5123,734,3903
27,2704708,35484,35484,4849,24297
21,2104552,12870,12870,1373,8338
42,4204400,2572,2572,249,1238
33,3301405,10897,10897,1506,6991
16,1600279,27296,27296,2909,19607
52,5220686,4300,4300,468,2815
24,2409332,3968,3968,299,2952
15,1500131,5202,5202,480,3919
31,3147501,827,827,110,386
22,2206704,5647,5647,488,4068
52,5203609,2178,2178,302,981
35,3516101,1583,1583,142,701
33,3305208,46181,46181,5489,23595
33,3305802,75731,75731,8714,38785
35,3555406,39023,39023,5987,21803
23,2301505,4713,4713,517,2902
52,5220009,7493,7493,732,4301
42,4200705,3101,3101,354,1715
35,3515350,4199,4199,419,2035
43,4304358,5771,5771,432,2630
35,3547700,6750,6750,751,3345
35,3523107,165956,165956,20258,101110
43,4304853,588,588,47,116
35,3532405,7776,7776,960,4437
31,3165305,3290,3290,466,1757
31,3135704,2938,2938,398,1658
15,1507961,9782,9782,774,7464
29,2905701,164151,164151,16838,110270
24,2403756,2410,2410,326,1415
35,3536505,21224,21224,3444,10459
43,4307450,1515,1515,171,723
51,5107404,2587,2587,174,1066
31,3156452,2898,2898,316,1414
29,2917805,13893,13893,1172,11196
42,4218004,12231,12231,1500,5061
28,2801504,10001,10001,1199,6394
31,3136900,3470,3470,489,1271
22,2202901,19365,19365,2329,13093
29,2933257,4645,4645,711,2856
21,2105351,12140,12140,544,10253
35,3544202,4150,4150,644,1727
23,2311108,11913,11913,1693,8337
52,5204102,5373,5373,431,2119
35,3506607,14814,14814,1932,8325
29,2926301,22808,22808,2391,14825
15,1508050,12599,12599,997,8644
21,2101707,53137,53137,3773,42846
15,1505064,44803,44803,2438,34889
31,3168002,20225,20225,2885,10486
31,3120839,2586,2586,410,1586
42,4215653,3215,3215,464,1638
35,3507209,469,469,38,127
25,2506301,32985,32985,5187,21760
41,4120200,1542,1542,116,486
29,2925931,7437,7437,489,4602
31,3139805,4502,4502,726,2021
31,3129806,75850,75850,7367,34418
22,2201507,19403,19403,1749,14479
26,2612802,7248,7248,720,5179
35,3523503,7525,7525,991,3754
28,2804607,16973,16973,1721,12897
52,5213103,35044,35044,3177,11561
32,3202900,4266,4266,302,1763
31,3164704,22081,22081,3997,9754
29,2921609,6619,6619,563,4968
31,3129400,2807,2807,427,1428
31,3129103,2504,2504,458,1154
31,3163607,1797,1797,105,1219
42,4211892,1468,1468,190,501
21,2104107,10590,10590,762,7506
31,3124708,1207,1207,120,352
32,3204807,7722,7722,819,3996
42,4215505,6986,6986,778,3108
43,4312708,8018,8018,580,2846
32,3203106,6921,6921,774,3096
41,4125357,2540,2540,300,518
28,2801207,22963,22963,2106,16596
41,4109757,4276,4276,469,1622
35,3529005,57784,57784,9835,23420
31,3128808,4009,4009,369,2016
35,3544301,5059,5059,601,2308
23,2312106,14668,14668,1391,10156
52,5200902,1925,1925,265,1066
28,2805802,15082,15082,1521,11162
41,4104253,12148,12148,1346,4505
35,3513009,77933,77933,10621,32264
43,4312500,5783,5783,665,3333
29,2928109,30415,30415,2831,20168
11,1101484,3141,3141,250,636
35,3543253,4622,4622,498,1104
35,3532157,1130,1130,126,520
25,2505709,8641,8641,773,6281
42,4210803,1550,1550,175,666
35,3524105,10701,10701,1853,4905
11,1100452,13368,13368,1965,6458
25,2507408,5261,5261,536,3591
42,4212205,4576,4576,702,1824
21,2109601,28160,28160,2913,18648
43,4306452,453,453,48,121
25,2516755,2411,2411,138,1827
22,2208908,4250,4250,220,3080
52,5209457,1286,1286,154,579
21,2101806,3825,3825,189,2970
28,2802700,7047,7047,552,5628
25,2508604,11108,11108,1507,6817
25,2504074,3661,3661,242,2211
17,1716703,5415,5415,688,2772
23,2303659,7507,7507,604,6107
22,2203859,2178,2178,113,1306
35,3545159,1546,1546,244,401
17,1706258,1366,1366,160,523
35,3512902,3777,3777,561,1679
29,2929800,8586,8586,573,6510
43,4305009,2963,2963,453,1288
21,2107357,12494,12494,998,10200
31,3114006,4738,4738,422,1811
31,3100708,867,867,86,516
29,2921104,15373,15373,2875,9416
31,3121803,3717,3717,490,1985
35,3517000,3456,3456,389,1854
35,3556503,26525,26525,3478,13789
27,2707305,17045,17045,1710,13426
41,4122172,2858,2858,284,1660
52,5201306,10628,10628,1459,4506
35,3522307,51600,51600,8590,25061
24,2406700,7275,7275,954,4097
21,2102374,10687,10687,794,8626
21,2105658,4409,4409,293,3182
29,2911253,3959,3959,305,2752
42,4218855,794,794,61,150
25,2501708,4866,4866,352,3577
35,3556008,3871,3871,538,1132
42,4211454,1118,1118,108,452
43,4305207,3795,3795,594,933
31,3146255,3876,3876,343,2663
25,2507200,8253,8253,746,6236
51,5107776,4411,4411,375,2679
51,5106703,1035,1035,140,549
50,5003306,17749,17749,2545,7718
17,1705607,2878,2878,246,1686
52,5219258,2366,2366,218,1061
24,2400703,8200,8200,877,4875
35,3509007,29489,29489,3111,12614
31,3164506,6410,6410,769,3511
35,3522901,4702,4702,528,1636
31,3153806,621,621,60,213
31,3140407,1759,1759,186,1198
29,2916856,12599,12599,1355,8825
23,2304400,1208024,1208024,206246,746999
29,2920700,17492,17492,1271,13641
27,2707800,5159,5159,398,4453
15,1505908,30376,30376,2384,25610
29,2913457,8234,8234,657,6421
42,4217709,8066,8066,1358,3209
43,4301602,57513,57513,7887,31593
43,4308508,8035,8035,1102,2949
25,2512200,3392,3392,204,2165
