Código IBGE,Nome do Municipio,uf,maior_media_anual,ano_maior_media,maior_media_semestral,semestre_maior_media,maior_diferenca_entre_meses,ano_maior_diferença_ano,media_pessoas_geral,max_valor,min_valor
270790,SANTA LUZIA DO NORTE,AL,183.0,2025,184.5,2025_S2,37,2024,158.4,187,124
211285,VILA NOVA DOS MARTÍRIOS,MA,182.57,2026,196.0,2026_S2,24,2026,162.35,196,138
315110,PIRAPETINGA,MG,182.5,2025,188.0,2026_S2,23,2024,168.6,188,138
411080,IRETAMA,PR,182.42,2025,183.83,2025_S2,10,2025,176.06,188,168
130280,MARAÃ,AM,182.14,2026,184.0,2026_S2,56,2025,123.65,189,78
231060,PENAFORTE,CE,182.08,2025,187.67,2025_S2,22,2025,160.54,189,135
260150,BELÉM DE MARIA,PE,182.08,2025,185.17,2025_S2,26,2024,159.44,188,127
290700,CARDEAL DA SILVA,BA,182.0,2026,186.0,2026_S2,20,2023,159.62,188,127
355360,TAPIRATIBA,SP,181.83,2025,182.0,2025_S2,30,2023,160.48,186,117
240270,CERRO CORÁ,RN,181.75,2025,184.33,2025_S1,25,2024,168.0,187,148
355720,CHAVANTES,SP,181.75,2024,186.17,2025_S1,25,2025,173.38,190,156
430105,ARROIO DO SAL,RS,181.71,2026,193.0,2026_S2,40,2023,146.02,193,89
410305,BOA VISTA DA APARECIDA,PR,181.71,2026,186.0,2026_S2,22,2023,157.04,186,125
220540,JOAQUIM PIRES,PI,181.57,2026,184.0,2025_S2,36,2024,138.38,189,80
430710,HERVAL,RS,181.5,2024,186.17,2024_S2,19,2025,175.79,190,162
270460,MARAVILHA,AL,181.5,2025,184.0,2025_S2,23,2024,163.35,186,140
250350,CACIMBA DE DENTRO,PB,181.43,2026,188.0,2026_S2,42,2025,156.12,188,128
354080,POTIRENDABA,SP,181.42,2025,182.33,2025_S2,25,2024,163.6,184,137
290515,CAETANOS,BA,181.33,2025,182.83,2025_S2,33,2024,154.94,186,107
171660,PEIXE,TO,181.29,2026,184.0,2026_S2,17,2024,168.5,184,149
352760,LUÍS ANTÔNIO,SP,181.17,2025,181.83,2025_S1,17,2023,171.71,190,140
316550,SARDOÁ,MG,181.08,2025,181.33,2025_S1,38,2023,150.21,186,93
316890,TIROS,MG,181.0,2025,181.33,2025_S1,17,2024,168.5,185,154
220750,PALMEIRAIS,PI,180.86,2026,185.0,2026_S2,28,2024,146.04,185,98
411560,MATELÂNDIA,PR,180.83,2025,181.17,2025_S2,17,2026,170.9,190,157
314760,PASSA QUATRO,MG,180.83,2025,184.0,2025_S2,17,2024,167.9,186,145
291630,ITAPEBI,BA,180.83,2025,181.83,2025_S2,21,2024,167.48,184,149
316400,SÃO PEDRO DOS FERROS,MG,180.57,2026,188.0,2026_S2,28,2023,156.21,188,112
240700,LUÍS GOMES,RN,180.5,2025,183.17,2025_S2,18,2023,168.1,185,141
412720,TERRA BOA,PR,180.5,2025,180.83,2025_S2,27,2024,159.1,188,130
210825,PEDRO DO ROSÁRIO,MA,180.43,2026,181.0,2026_S2,51,2024,136.46,186,85
315570,RIO PIRACICABA,MG,180.42,2025,183.5,2025_S2,16,2023,171.21,186,152
432170,TRÊS COROAS,RS,180.42,2025,182.0,2025_S2,29,2024,156.31,187,116
312820,GUARACIABA,MG,180.08,2025,181.17,2025_S2,19,2023,169.12,184,142
250640,GURINHÉM,PB,180.0,2026,191.0,2026_S2,31,2024,161.23,191,139
241290,SÃO TOMÉ,RN,179.86,2026,190.0,2026_S2,40,2024,145.12,190,104
350740,BORBOREMA,SP,179.83,2025,179.83,2025_S1,45,2024,161.56,186,134
240320,DOUTOR SEVERIANO,RN,179.75,2024,182.33,2024_S2,14,2026,173.23,183,159
291875,LAGOA REAL,BA,179.75,2025,184.0,2025_S2,17,2026,164.62,187,146
353660,PAULO DE FARIA,SP,179.58,2024,181.0,2024_S2,32,2024,171.35,203,147
293310,VÁRZEA DO POÇO,BA,179.5,2025,180.0,2026_S2,36,2024,157.44,183,131
510490,JANGADA,MT,179.5,2024,179.67,2024_S1,18,2024,166.5,186,151
355300,TAGUAÍ,SP,179.33,2025,180.5,2025_S2,63,2024,160.48,183,112
320440,RIO NOVO DO SUL,ES,179.29,2026,183.0,2026_S2,27,2023,155.56,183,113
310910,BUENO BRANDÃO,MG,178.92,2024,181.83,2024_S2,9,2024,173.96,184,162
412330,SANTA CRUZ DE MONTE CASTELO,PR,178.86,2026,186.0,2026_S2,22,2024,167.38,186,152
220240,CAPITÃO DE CAMPOS,PI,178.67,2025,179.5,2025_S2,14,2024,164.1,187,142
171190,LAGOA DA CONFUSÃO,TO,178.57,2026,184.0,2026_S2,27,2024,140.48,184,102
280445,NOSSA SENHORA APARECIDA,SE,178.57,2026,180.0,2026_S2,26,2025,144.9,185,111
317170,VIRGÍNIA,MG,178.17,2025,180.0,2025_S1,14,2023,170.46,181,158
291200,IBIASSUCÊ,BA,178.14,2026,179.0,2026_S2,17,2024,155.29,183,125
311130,CAMPO DO MEIO,MG,178.08,2025,178.33,2025_S1,13,2024,172.92,181,165
330460,SANTA MARIA MADALENA,RJ,178.0,2026,182.0,2026_S2,16,2024,153.77,182,121
500124,ARAL MOREIRA,MS,178.0,2026,180.0,2025_S2,17,2023,164.69,181,143
210235,BURITIRANA,MA,177.92,2025,180.33,2025_S2,27,2024,160.35,185,140
510720,RIO BRANCO,MT,177.75,2025,183.17,2025_S1,56,2025,152.23,193,129
220500,ITAINÓPOLIS,PI,177.43,2026,179.0,2026_S2,30,2024,140.46,181,97
421105,MONTE CARLO,SC,177.17,2024,179.83,2024_S2,17,2024,169.69,183,152
291130,GENTIO DO OURO,BA,177.08,2025,177.83,2025_S2,16,2023,167.92,180,154
353820,PINHALZINHO,SP,177.0,2025,177.33,2025_S1,37,2024,150.44,179,103
